n,p,q,lambda_plus,n_reps,top_mean,top_std
60,180,3.0,7.464101615137754,400,7.154235773589441,0.2233250432651278
120,360,3.0,7.464101615137754,400,7.26390015412719,0.15963323871470234
240,720,3.0,7.464101615137754,300,7.345410799998644,0.10191799636278417
480,1440,3.0,7.464101615137754,150,7.383310030592444,0.06444221816008555
960,2880,3.0,7.464101615137754,60,7.421090431438626,0.03361277840102051
