cell_rank,dpt
0,0.0
1,0.15142217415760337
2,0.26946264160702205
3,0.3534682763275552
4,0.4020633619677074
5,0.4934965538770758
6,0.5102339848425442
7,0.5501586945176566
8,0.6307961426732505
9,0.6553329435531321
10,0.6647111937126587
11,0.7224281565297828
12,0.7242575918327937
13,0.7256043718100501
14,0.7279247688508332
15,0.7300921492289313
16,0.7484338326870192
17,0.7699636510364892
18,0.7726228926655627
19,0.8070846555153428
20,0.8072376025505461
21,0.8475871105585073
22,0.8559180452689351
23,0.8695733117054737
24,0.8765674673542062
25,0.8808784689751792
26,0.887238391295254
27,0.891619767450439
28,0.8925978805331827
29,0.896506940585519
30,0.8971009179596328
31,0.9025028746979067
32,0.9041145482003642
33,0.9043635376775946
34,0.9050805386489275
35,0.9084790849455731
36,0.9098922121830733
37,0.9145148391390615
38,0.9158940387387844
39,0.9207335396056638
40,0.9213108506189326
41,0.9220477497842708
42,0.924806861341726
43,0.9248950243190026
44,0.9250688848533639
45,0.9266033930724488
46,0.9272040127751772
47,0.9335583067250901
48,0.9349555092664804
49,0.9350849846918803
50,0.9378800032186232
51,0.9392614060303517
52,0.9451785705577659
53,0.9467215932938464
54,0.9496168829743711
55,0.9496681840551775
56,0.9509923094673216
57,0.9513571899210023
58,0.9529028016048557
59,0.954175251143453
60,0.9558738574253883
61,0.9562278919287144
62,0.956754112781321
63,0.957236580792286
64,0.958974658081244
65,0.9594530273825075
66,0.960452599910147
67,0.9606042376479346
68,0.9622566765042047
69,0.9635640481687487
70,0.9641784903942139
71,0.9644863970058842
72,0.9664165404772455
73,0.9669207333084627
74,0.9686730518679139
75,0.9702999191725015
76,0.9749692830091917
77,0.9753381433460662
78,0.9766660455211456
79,0.9768398100919781
80,0.9771513196001911
81,0.9772736025428616
82,0.97797594200468
83,0.9787778541402691
84,0.9793153813707417
85,0.979774082883934
86,0.9820688556783449
87,0.9833010723811513
88,0.9835152708328322
89,0.9847055459310488
90,0.9851238967179583
91,0.9871145593950268
92,0.9896214249233506
93,0.9900728392967599
94,0.990228360618338
95,0.9906409950470423
96,0.9920015727310775
97,0.9930776059914288
98,0.9949536554508317
99,0.9956820375604325
100,0.9961725071374904
101,0.9970707487313321
102,0.9972792984756724
103,0.997360779308038
104,0.9974338917829936
