seed,pair,pattern,final_train_acc
13,mu5-mu6,no clear repulsion,0.9890710382513661
13,mu6-mu7,partial repulsion (one side reopens),0.9890710382513661
13,mu7-mu8,no clear repulsion,0.9890710382513661
14,mu1-mu2,no clear repulsion,0.9872495446265938
14,mu2-mu3,no clear repulsion,0.9872495446265938
14,mu3-mu4,partial repulsion (one side reopens),0.9872495446265938
14,mu4-mu5,no clear repulsion,0.9872495446265938
14,mu5-mu6,no clear repulsion,0.9872495446265938
14,mu6-mu7,no clear repulsion,0.9872495446265938
14,mu7-mu8,no clear repulsion,0.9872495446265938
15,mu1-mu2,no clear repulsion,0.9890710382513661
15,mu2-mu3,no clear repulsion,0.9890710382513661
15,mu3-mu4,partial repulsion (one side reopens),0.9890710382513661
15,mu4-mu5,no clear repulsion,0.9890710382513661
15,mu5-mu6,repulsion (both sides reopen),0.9890710382513661
15,mu6-mu7,no clear repulsion,0.9890710382513661
15,mu7-mu8,no clear repulsion,0.9890710382513661
16,mu1-mu2,partial repulsion (one side reopens),0.9890710382513661
16,mu2-mu3,inconclusive (still narrowing at epoch_max),0.9890710382513661
16,mu3-mu4,inconclusive (still narrowing at epoch_max),0.9890710382513661
16,mu4-mu5,no clear repulsion,0.9890710382513661
16,mu5-mu6,no clear repulsion,0.9890710382513661
16,mu6-mu7,no clear repulsion,0.9890710382513661
16,mu7-mu8,repulsion (both sides reopen),0.9890710382513661
17,mu1-mu2,no clear repulsion,0.9908925318761385
17,mu2-mu3,no clear repulsion,0.9908925318761385
17,mu3-mu4,no clear repulsion,0.9908925318761385
17,mu4-mu5,no clear repulsion,0.9908925318761385
17,mu5-mu6,repulsion (both sides reopen),0.9908925318761385
17,mu6-mu7,no clear repulsion,0.9908925318761385
17,mu7-mu8,no clear repulsion,0.9908925318761385
18,mu1-mu2,no clear repulsion,0.9872495446265938
18,mu2-mu3,inconclusive (still narrowing at epoch_max),0.9872495446265938
18,mu3-mu4,no clear repulsion,0.9872495446265938
18,mu4-mu5,no clear repulsion,0.9872495446265938
18,mu5-mu6,partial repulsion (one side reopens),0.9872495446265938
18,mu6-mu7,no clear repulsion,0.9872495446265938
18,mu7-mu8,no clear repulsion,0.9872495446265938
19,mu1-mu2,repulsion (both sides reopen),0.9890710382513661
19,mu2-mu3,no clear repulsion,0.9890710382513661
19,mu3-mu4,partial repulsion (one side reopens),0.9890710382513661
19,mu4-mu5,no clear repulsion,0.9890710382513661
19,mu5-mu6,no clear repulsion,0.9890710382513661
19,mu6-mu7,partial repulsion (one side reopens),0.9890710382513661
19,mu7-mu8,no clear repulsion,0.9890710382513661
