pair,repulsion,partial,inconclusive,none
lambda1-lambda2,7,7,2,4
lambda2-lambda3,16,1,3,0
lambda3-lambda4,12,7,0,1
lambda4-lambda5,14,4,0,2
lambda5-lambda6,19,1,0,0
lambda6-lambda7,18,2,0,0
lambda7-lambda8,18,2,0,0
