pair,repulsion,partial,inconclusive,none
lambda1-lambda2,11,5,1,3
lambda2-lambda3,9,7,0,4
lambda3-lambda4,14,3,0,3
lambda4-lambda5,14,6,0,0
lambda5-lambda6,20,0,0,0
lambda6-lambda7,20,0,0,0
lambda7-lambda8,20,0,0,0
