cohort,model,clustering,giant_frac,n_communities,modularity
TNBC,real,0.3877110024020409,0.9523809523809523,36.0,0.5397696479453139
TNBC,erdos_renyi,0.019999859469749668,1.0,10.666666666666666,0.18208077218468735
TNBC,config_model,0.11374621235942994,1.0,10.333333333333334,0.14983747344139123
LumA,real,0.5219637328023785,1.0,5.0,0.2853171541765108
LumA,erdos_renyi,0.1328375527072429,1.0,8.333333333333334,0.056098903053797
LumA,config_model,0.29014480855436986,1.0,8.333333333333334,0.050681862959550704
