generation,best_cv_accuracy
0,0.9872393661384488
1,0.989090909090909
2,0.9872393661384488
3,0.9872727272727273
4,0.9927272727272728
5,0.9927272727272728
6,0.9927272727272728
7,0.9927272727272728
8,0.9945454545454545
9,0.9945454545454545
10,0.9945454545454545
11,0.9945454545454545
12,0.9945454545454545
13,0.9945454545454545
14,0.9945454545454545
