order_seed,pair,pattern
15,lambda6-lambda7,repulsion (both sides reopen)
15,lambda7-lambda8,repulsion (both sides reopen)
16,lambda1-lambda2,no clear repulsion
16,lambda2-lambda3,repulsion (both sides reopen)
16,lambda3-lambda4,repulsion (both sides reopen)
16,lambda4-lambda5,repulsion (both sides reopen)
16,lambda5-lambda6,repulsion (both sides reopen)
16,lambda6-lambda7,repulsion (both sides reopen)
16,lambda7-lambda8,repulsion (both sides reopen)
17,lambda1-lambda2,no clear repulsion
17,lambda2-lambda3,repulsion (both sides reopen)
17,lambda3-lambda4,repulsion (both sides reopen)
17,lambda4-lambda5,no clear repulsion
17,lambda5-lambda6,repulsion (both sides reopen)
17,lambda6-lambda7,repulsion (both sides reopen)
17,lambda7-lambda8,repulsion (both sides reopen)
18,lambda1-lambda2,inconclusive (still narrowing at n_max)
18,lambda2-lambda3,repulsion (both sides reopen)
18,lambda3-lambda4,repulsion (both sides reopen)
18,lambda4-lambda5,repulsion (both sides reopen)
18,lambda5-lambda6,repulsion (both sides reopen)
18,lambda6-lambda7,repulsion (both sides reopen)
18,lambda7-lambda8,repulsion (both sides reopen)
19,lambda1-lambda2,repulsion (both sides reopen)
19,lambda2-lambda3,repulsion (both sides reopen)
19,lambda3-lambda4,repulsion (both sides reopen)
19,lambda4-lambda5,partial repulsion (one side reopens)
19,lambda5-lambda6,repulsion (both sides reopen)
19,lambda6-lambda7,repulsion (both sides reopen)
19,lambda7-lambda8,partial repulsion (one side reopens)
